,label,tweet,gender,katakunci,pasal,status,kronologis,agama
2715,sadness,klo di puskesmas yang antri orang hamil sama lansia didahulukan  disini yang daftar online yang diutamakan  akumah ngga pernah dapet tempat  prioritas di hatinya saja kagak    ,Laki-laki,"Cina, anus, toilet, jamban, tai",Pasal 315 KUHP,Penyelidikan,PENCEMARAN NAMA BAIK,Kristen Protestan
2716,anger,   siang min  kenapa saldo bonus tcash saya tidak ada  padahal saya udah banyak dapat sms pemberitahuannya  dan saya langsng aktivkan tcash walet  mohn bntuanx  trmaksih min,Perempuan,Kodok betina,Pencemaran,lidik,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
2717,anger,pas aku udah punya pacar terus pergi nonton ke bioskop  orang lain  dih nontonnya sama pacar mulu  terus tidak ngajak nih  lah situ kalau di ajak tidak pernah bisa  ingin rasanya ku sentil amandelnya satu   ,Laki-laki,"pembohong, pendusta",Pencemaran,Penyelidikan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
2718,anger,ah eyang pelit tidak saya carin istri ke tujuh nih,Perempuan,"peselingkuh gatel, bangsat, asu","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",dihentikan karena restorative jaustice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
2719,fear,waallahu alam    saya tidak mau sok tau  takut    ilmu saya masih cetek banget  jadi cukup  kesimpulan yang udah jelas ada di al quran dan hadits itu saja yang saya yakini  selebihnya waallahu alam   ,Laki-laki,penipu,Pasal 315 KUHP,lidik,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
2720,love,sejak awal mengenal dan mencintaimu hati utuh yang penuh cinta ini telah memilih untuk tetap menerimamu bagainmanapun keadaan ini  terluka itu pilihan   dan tetap mencintai adalah anugerah dan kesempatan yang diberikan tuhan ,Laki-laki,"pembohong, pendusta",Pencemaran,lidik,PENCEMARAN NAMA BAIK,Islam
2721,love,kalo udah sayang beneran itu mau dihadapkan sama cowok yang lebih tajir      ganteng      pinter      serba      dll itu pasti bakalan tetep tidak mau berpindah,Perempuan,"fuck, fucking bitch, fat bitch",KUHP Pasal 310,lidik,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen Protestan
2722,fear,liat boneka susan saja sudah ampun  lha ini malah diajakin nonton film horror boneka sabrina ,Laki-laki,"pembohong, pendusta",pengancaman,Naik kejaksaan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
2723,anger,   hallo min kuota saya masih gb tapi kok tidak bisa dipakai  katanya kuota saya udah habis  ini bagaimana ya  mohon bantuannya   ,Perempuan,Kodok betina,KUHP Pasal 310,Putusan,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen
2724,sadness,bln putus berapa lama memang kamu jadian dia labil sangat ki bentar marahan begitu deh  ,Laki-laki,"babi, muslim, fuck",pengancaman,Naik kejaksaan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
2725,love,cuma    yang ngerti cara nanganin aku kalau aku sudah ngamuk  sayang sama aku tanpa nyuruh aku buat berubah jadi orang lain  sabar  pengertian  orang yang selalu maju paling depan kalau ada yang macemin aku,Laki-laki,"bom, tidak tahu diri","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Penyelidikan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Islam
2726,anger,aku termasuk orang yang tidak habis pikir dengan orang yang menganggap wajar hal tersebut dan justru menyalahkan via vallen karena dianggap lebay  namanya pelecehan dalam bentuk apapun itu pasti menyakitkan  tidak peduli jenis pelecehan apa itu ,Perempuan,"peselingkuh gatel, bangsat, asu","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Putusan,PENCEMARAN NAMA BAIK,Kristen
2727,sadness,siapa sih di dunia yang ngga punya hater  rasul yang mulia saja punya  budha saja punya  nabi isa saja punya  nah apalagi eloh ama gueh      ya kaaan,Perempuan,"peselingkuh gatel, bangsat, asu",Pencemaran nama baik,Penyelidikan,PENCEMARAN NAMA BAIK,Islam
2728,anger,   tolong aplikasinya diberesin  saya tadi pesan  katanya server error  eh muncul  taksi  khan kasian drivernya  saya musti cancel ,Perempuan,"pembohong, pendusta",Pencemaran nama baik,Restorative Justice,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen
2729,love,padahal papa ingin sekali menangis seperti mama dan memelukmu erat erat  yang papa lakukan hanya menghapus sedikit air mata di sudut matanya  dan menepuk pundakmu berkata  jaga dirimu baik baik ya sayang  papa melakukan itu semua agar kamu kuat  kuat untuk mnjadi dewasa ,Perempuan,"peselingkuh gatel, bangsat, asu","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Naik kejaksaan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
2730,sadness,udah hampir seminggu  tiap sahur harus dibanguninnya sama mamah  alarm cuma matiin doang  kalau telpon mamah dimatiin sekali ditelpon terus sampai bangun  untung dia sabar ,Perempuan,pelacur,Pencemaran,lidik,PENCEMARAN NAMA BAIK,Islam
2731,anger,ternyata banyak fans kpop dadakan ya  mending lisa gakusah kesini saja kalau gini caranya  tnpa dipromosikan psti banyak juga kok yang dtg ke fanmeetingnya lisa  aku ksel kak liatnya   ,Perempuan,pelacur,UU ITE 27 Ayat 3,Naik kejaksaan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
2732,love,hari ini adalah hari yang sangat sunyi bagiku  pagi menjelang siang dan sore menjelang malam  begitu juga sebaliknya  tiada hentinya aku tuk memikirkan mu  dan entah mengapa  mengapa kita harus bersaudara  apa alasanmu tuhan   tapi aku sadar  sadar bahwa cinta itu buta,Perempuan,"bom, tidak tahu diri",Pencemaran,Naik kejaksaan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
2733,fear, askmf  kenapa ya aku takut banget kalau mau ngmg atau muncul di grup gituuuu  bener panik gituu kalau harus muncul di grup  gimana cara ngehilangin nya ya,Perempuan,penipu,KUHP Pasal 310,Naik kejaksaan,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen
2734,love,saya takan ragukan besarnya kasih sayang tuhan yang telah diberikannya kepada saya walau momen sulit yang harus saya hadapi dalam hidup ini   karena saat cahaya dalam hati kita mulai redup hanya kasih sayang dari mereka yang mencintai kita  yang mampu menjadi lentera tuk meneranginya kembali,Perempuan,"selingkuh, lobang kubur",Pencemaran,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
2735,love,kekal  sayang dengarkan lah syair kau tulis ku lagu kan  semoga jadi siulan satu masa dan semoga engkaukan tersenyum dengan irama indah hanya itu yang mampuku beri ,Perempuan,"bom, tidak tahu diri",KUHP Pasal 310,Restorative Justice,PENCEMARAN NAMA BAIK,Islam
2736,happy,dan untuk para tamu sekalian terimakasih sudah ikut acara ini  mohon maaf mention kalian tidak dapat aku jawab satu persatu dikarenakan menjauhi dari limit  terimakasih dan selamat malam salam sayang,Laki-laki,"pembohong, pendusta",pengancaman,Putusan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
2737,fear,gatau sejak kapan tiap dengerin kucing ngeong sama anjing melolong malem selalu ngebayangin ada  sesuatu  di luar     dan bikin gaberani bangun,Perempuan,"Cina, anus, toilet, jamban, tai",Pencemaran,Restorative Justice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
2738,sadness,macetnya mantap ,Perempuan,"babi, muslim, fuck",Pasal 315 KUHP,lidik,PENCEMARAN NAMA BAIK,Kristen
2739,anger,apakah mereka tidak pernah belajar akan dampak negatif omongan besar dan kata kasar  dulu pernah ada politisi menyebut jokowi  sinting  karena mengemukakan gagasan hari santri  ucapan bodoh ini ternyata menyumbang besar bagi kemenangan presiden    dalam pilpres ,Perempuan,"peselingkuh gatel, bangsat, asu","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",vonis 2 tahun,PENCEMARAN NAMA BAIK,Kristen
2740,fear,masi tidak ngerti kenapa bisa takut ketinggian     padahal dulu doyan manjat pohon depan rumah  sekarang lihat ke asrama lt dasar saja ogah  apalagi ganti lampu begini t,Laki-laki,"peselingkuh gatel, bangsat, asu",Pasal 315 KUHP,vonis 2 tahun,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen Protestan
2741,sadness,   lutut lemes  melongo kaya orang angong terus nangis tiba  ingin jerit tidak bisa  pokoknya kesel sekesel keselnya sama diri sendiri  capek banget sampai jantung sesek  dan itu terjadi berkali sampai th lamanya        padahal pacar juga bukan wkwk,Laki-laki,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,vonis 2 tahun,PENCEMARAN NAMA BAIK,Kristen
2742,sadness,   sayang banget gitu padahal vocal dia cocok buat energetic tapi yasudah lah semoga saja my bby goeun selamat dan bisa nunjukin vocalnya dia di concept eval    ,Laki-laki,"Cina, anus, toilet, jamban, tai",Pasal 315 KUHP,dihentikan karena restorative jaustice,PENCEMARAN NAMA BAIK,Kristen
2743,fear,   kalau untuk barang elektronik gitu gimana  kadang takut mau buang headset dan baterai ke tempat sampah  soalnnya kan bahaya   terus sama botol spray  katanya bisa meledak di suhu yang tinggi  ,Laki-laki,Kodok betina,pengancaman,Naik kejaksaan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
2744,fear,   lagi main di rumah temen tuh  pas pipis lihat cd udah merah gitu  langsung izin pulang bilangnya mendadak sakit pas sampai rumah bilang   itu kakak berdarah mah  takut  soalnya emang pas main jatuh  pas diliat dibilang mens  hue besoknya pe,Perempuan,"babi, biongo",Pencemaran,Putusan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
2745,sadness,udah lama nih tidak ada chat yang isinya selamat bobo sayang    semoga mimpi indah yah  good night    kalau diinget inget  terakhir kali dapet chat kaya gitu teh  pas zaman sangkuriang najong parahu   ,Perempuan,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,Penyelidikan,PENCEMARAN NAMA BAIK,Islam
2746,happy,rajin hadirkan diri dengan majlis ilmu  supaya kita blh mantapkan lagi diri kita  ilmu akan jadi perisai diri kita  ilmu dan akhlak kena seiring    jangan lupa selalu berdoa yang baik   untuk diri sendiri dan orang lain    terus istiqamah menuju ke arah kebaikan,Laki-laki,"selingkuh, lobang kubur",UU ITE 27 Ayat 3,Restorative Justice,PENCEMARAN NAMA BAIK,Kristen Protestan
2747,sadness,tak perlu iri kita punya sepi sendiri sendiri  jika hidup orang tampak meriah itu karena sepi dirayakan dengan mewah    adimas imanuel   ,Perempuan,"fuck, fucking bitch, fat bitch","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Naik kejaksaan,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen Protestan
2748,happy,suka point prof  suteki   kita tau bahwa puncak tertinggi pancasila adalah ketuhanan yang maha esa  sdgkan kita tau bahwa salah satu petinggi bpip pnh menyampaikan dalam pidatonya yang viral ttg keraguannya akan hari akhir  nampol banget    ,Laki-laki,pelacur,KUHP Pasal 310,vonis 2 tahun,PENCEMARAN NAMA BAIK,Kristen
2749,sadness,begitu tersadar bahwa kita menceritakan mereka bagaikan mantan pacar  kita tertawa menggerutu bersama  sebab mereka hanyalah sebatas mantan calon pacar ,Laki-laki,Kodok betina,UU ITE 27 Ayat 3,Restorative Justice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
2750,fear, rlt kalian yang cewek kalau sekelas sama pacar kalian terus kamu lagi nyeri dapet ingin dihibur apa bagaimana  cewek aku tadi malah aku ajak main onet di hp dia mendem marah kali ya ,Perempuan,"babi, muslim, fuck",Pencemaran,vonis 2 tahun,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
2751,fear,fans mana pun yang benci sama  curry  bakalan tetap ngakuin  points nya bahaya banget mau ngelempar dari mana pun kemungkinan bola masuknya itu   ,Perempuan,Kodok betina,Pasal 315 KUHP,Putusan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Islam
2752,love,kalo lagi sayang ya sayang pisan kalau lagi manja ya manja pisan kalau lagi aleman ya aleman pisan kalau lagi ngambek ya ngambek pisan kalau lagi koplak ya jangan ditanyaa ya gaes dia koplak melebihi aku,Laki-laki,pelacur,KUHP Pasal 310,Restorative Justice,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
2753,love,   aku sayang banget banget banget kenapa ya kalau sama ikon baru kali ini rasanya ngestan yang bener bener sayang banget tapi seperti kerasa disayaaaang balik banget sama merekanya  jadi aku makin sayang dan tidak bisa lepas  gimana jelasinnya ya tapi,Laki-laki,"Cina, anus, toilet, jamban, tai",Pencemaran,Penyelidikan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
2754,happy,selamat ulang tahun sayang    ,Perempuan,"fuck, fucking bitch, fat bitch",UU ITE 27 Ayat 3,Penyelidikan,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
2755,love,   couple saya juga tidak pernah manggil saya  sayang   tapi dari sikapnya saya bisa tau kalau dia sayang sama saya  coba lihat rasa sayang dia dari cara dia memperlakukan kamu  bukan dari seberapa sering dia manggil kamu dengan sebutan  sayang  ,Laki-laki,"pembohong, pendusta",UU ITE 27 Ayat 3,Putusan,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen Protestan
2756,fear,deg degan tuh lgsng aku  aku lgsng wa cowo aku kan ya aku ngabarin kalau sikring rumah aku seperti ada yang nurunun terus aku takut  eh ternyata cuman ceklis  doang  terus aku makin takut tuh ya lampu tidak nyala tidak ada yang bisa aku hubungin,Perempuan,"bom, tidak tahu diri",UU ITE 27 Ayat 3,dihentikan karena restorative jaustice,PENCEMARAN NAMA BAIK,Kristen
2757,love,lagi suka  tapi takut mau follow  gapunya kontaknya pula  dan bidadari ini main askfm  jadilah keseharianku kugunakan untuk nanya pake mode anonymously  haha,Laki-laki,Kodok betina,Pencemaran nama baik,Naik kejaksaan,"Tersangka MEMBUAT, MERUBAH FOTO DAN MENYEBARLUASKAN di Grup wasehingga korban merasa MALU DAN NAMA BAIK TERCEMAR",Kristen
2758,fear,jinhyuk menunduk  menatap sepatunya  merasa takut untuk membalas permintaan sang puan   maaf  saya tidak membawa alat lukis saat ini       ,Perempuan,"pembohong, pendusta","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Restorative Justice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
2759,sadness,rencana   mau bagi makanan ke para tetangga karena mendekati hari raya  oke  tradisi  ater   ater   kalau dirumah  realita   katanya  disini  tidak ada kebiasaan seperti begitu        krik krik berakhir dengan   yaudah kasih ke yang mau saja deh ntar kalau mau buka puasa  ,Perempuan,"bom, tidak tahu diri",Pencemaran,dihentikan karena restorative jaustice,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen Protestan
2760,sadness,oh ya  sebelum aku cerita ke si alda  dia udah bilang kalau mau dengerin cerita aku  jangan khawatir sendirian  dan yang aku dapetin  setelah aku cerita panjang lebar sampai dm tidak muat  dia bales dengan pertanyaan lagi  itupun singkat dan bikin aku merasa tersudut ,Perempuan,pelacur,Pencemaran,dihentikan karena restorative jaustice,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
2761,sadness,yuk  akhirnya msk minggu awal bln juni   tidak terasa sudah setengah tahun saja  ternyata bnyak target yang belum terealisasi sampai skr  harus belajar displin  amp,Laki-laki,"peselingkuh gatel, bangsat, asu",UU ITE 27 Ayat 3,dihentikan karena restorative jaustice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Islam
2762,fear,   tidak pernah dan tidak akan pernah percaya sama aplikasi macem itu  seperti yang baca artikel terus dapet duit juga  itu kita masukin data pribadi dan no  rek juga kan  bahaya tidak sih  jangan mudah tergiur sama hal hal gini deh  ,Perempuan,"fuck, fucking bitch, fat bitch",KUHP Pasal 310,lidik,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
2763,happy,gw suka  aku mau ketemu  aku ntn konser sndrian no prob yang penting di dalem aku have fun ,Perempuan,pelacur,UU ITE 27 Ayat 3,Restorative Justice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Islam
2764,love,ritual kalau mau tidur nyanyi lagu sayang kaka ani  sayang mamak  sayang bapa  sayang oppung  sayang abang gio  sayang tua gio  sayang tua winda  nyebutin semua anggota keluarga besar  namamu selalu duluan disebut dek,Laki-laki,"bom, tidak tahu diri","Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Penyelidikan,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
2765,happy,subhanalloh  ternyata neng cantik ini adalah kader nu yang aktif juga di ippnu mudahhan menjadi kader yang militan untuk nu yang selalu menjaga marwah oranganisasi   ,Perempuan,pelacur,pengancaman,Naik kejaksaan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
2766,fear,nah  tadi kebelulan setorannya ke bpd rumah sakit  karena trauma kejadian di bpd cabang  tapi ternyata ketemunya itu satpam kurang ajar  sudah ngeper duluan takut ingin ku berlari saja rasanya ,Perempuan,"babi, muslim, fuck",KUHP Pasal 310,lidik,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen
2767,sadness,         pmarahan muhammad bin salman  tidak sudi temui amien rais cs  sungguh memalukan  bahkan para politisi ini mdpt cibiran dari kalangan istana di riyadh  saudi arabia       ,Perempuan,"pembohong, pendusta",Pasal 315 KUHP,Penyelidikan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Kristen
2768,happy,diam diam dia suka day masa   sumpah aku tidak racunin kok wkwk  kuy lah nonton youth bareng   halu tingkat provinsi,Laki-laki,pelacur,"Pasal 45 ayat (3) Jo Pasal 27 ayat (3) Undang-Undang Nomor 19 Tahun 2016 tentang Perubahan Atas Undang-Undang Nomor 11 Tahun 2008, tentang Informasi Dan Transaksi Elektronik (Penghinaan/PNB).",Restorative Justice,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Islam
2769,happy,ok fix selesai  persen bye bye bye harapan indah thks all team semoga cepat dapat proyek baru aminn,Laki-laki,"fuck, fucking bitch, fat bitch",Pasal 315 KUHP,Restorative Justice,"DI GRUP WHATSAPP, KORBAN MENGIRIM MAKANAN UNTUK SAUDARA PELAKU DAN SELANJUTNYA DIFOTO DAN DIKIRIM KE GRUP WHATSAPP KELUARGA PELAKU DAN DIKOMENTARI DENGAN KATA KATA TIDAK MENYENANGKAN YAITU “ATI-ATI",Kristen Protestan
2770,anger,sesama cewek  yang anggep cewek lain yang speak up against anya sexual harassment itu sebagai kelakuan norak  sgt dipertanyakan dimana sisterhoodnya  kalau anda sering dilecehkan dan menerima sebagai biasa saja  ya itu kan anda yang tidak pnya harga diri  belum tentu cewek lain berpikiran kyk anda kan,Perempuan,penipu,Pencemaran,vonis 2 tahun,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen Protestan
2771,fear, askmf  abis baca menfess ini  aku sebagai calon anak rantau ngerasa takut  minder  kalau temen disana diam ngerasa kesal dengan logat aku  karena aku masih sering nyampur bahasa      ,Perempuan,"babi, biongo",Pencemaran nama baik,lidik,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Islam
2772,anger,         lha itu bang haji yang saya heran kok semuanya di tumpahkan salahnya ke pak president penyakitnya apa segitu akutnya ya   ,Laki-laki,"selingkuh, lobang kubur",pengancaman,vonis 2 tahun,PENGHINAAN DAN PENCEMARAN NAMA BAIK MELALUI AKUN FACEBOOK,Kristen
2773,anger,ade   mas udah makan  aku    wah tumben nanyain  belom  makan saja duluan ade   maksudnya kucingnya udah makan apa belom aku   et kamu lihat aje sono tempat makannya  memang memang,Perempuan,"selingkuh, lobang kubur",Pencemaran nama baik,Restorative Justice,PENCEMARAN NAMA BAIK,Islam
2774,sadness,rambut diacak acak kagak suka  hati diacak acak dibiarin saja ,Laki-laki,"peselingkuh gatel, bangsat, asu",Pencemaran nama baik,dihentikan karena restorative jaustice,LEWAT STATUS DI WHATSAPP BERISI DAGANGAN SATE KORBAN YANG DICAMPUR DENGAN KEPALA TIKUS DST……,Kristen Protestan
2775,anger,aku hanya berfikir bahwa selama dia tersenyum berarti dia bahagia  aku tidak pernah berfikir bahwa ternyata dia mencoba untuk bertahan sngt keras di dlmnya  sngt sngt egois kan  qyara kuharap dimasa depn kau tidak bertemu dengan sosok sepertiku karena itu sngt memuakan ,Laki-laki,"pembohong, pendusta",UU ITE 27 Ayat 3,Naik kejaksaan,mengubah dan menampilkan tulisan pada running Text milik Hotel Megaland dengan tulisan “TERIMA SERVICE JEMBUT MEMEK”. Yang terjadi pada hari Rabu Tanggal 28 Februari 2018 sekira pukul 20.00 WIB di Hotel Megaland Surakarta,Islam
